food_product,land_use,animal_feed,farm,processing,transport,packging,retail,total_emissions
Wheat & Rye (Bread),0.1,0.0,0.8,0.2,0.1,0.1,0.1,1.3000000000000003
Maize (Meal),0.3,0.0,0.5,0.1,0.1,0.1,0.0,0.8
Barley (Beer),0.0,0.0,0.2,0.1,0.0,0.5,0.3,1.1
Oatmeal,0.0,0.0,1.4,0.0,0.1,0.1,0.0,1.6
Rice,0.0,0.0,3.6,0.1,0.1,0.1,0.1,4.0
Potatoes,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3
Cassava,0.6,0.0,0.2,0.0,0.1,0.0,0.0,0.30000000000000004
Cane Sugar,1.2,0.0,0.5,0.0,0.8,0.1,0.0,1.4000000000000001
Beet Sugar,0.0,0.0,0.5,0.2,0.6,0.1,0.0,1.4
Other Pulses,0.0,0.0,1.1,0.0,0.1,0.4,0.0,1.6
Peas,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.7999999999999999
Nuts,-2.1,0.0,2.1,0.0,0.1,0.1,0.0,2.3000000000000003
Groundnuts,0.4,0.0,1.4,0.4,0.1,0.1,0.0,2.0
Soymilk,0.2,0.0,0.1,0.2,0.1,0.1,0.3,0.8
Tofu,1.0,0.0,0.5,0.8,0.2,0.2,0.3,2.0
Soybean Oil,3.1,0.0,1.5,0.3,0.3,0.8,0.0,2.899999999999999
Palm Oil,3.1,0.0,2.1,1.3,0.2,0.9,0.0,4.5
Sunflower Oil,0.1,0.0,2.1,0.2,0.2,0.9,0.0,3.4000000000000004
Rapeseed Oil,0.2,0.0,2.3,0.2,0.2,0.8,0.0,3.5
Olive Oil,-0.4,0.0,4.3,0.7,0.5,0.9,0.0,6.4
Tomatoes,0.4,0.0,0.7,0.0,0.2,0.1,0.0,0.9999999999999999
Onions & Leeks,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3
Root Vegetables,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3
Brassicas,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.4
Other Vegetables,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.5
Citrus Fruit,-0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.4
Bananas,0.0,0.0,0.3,0.1,0.3,0.1,0.0,0.7999999999999999
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3
Berries & Grapes,0.0,0.0,0.7,0.0,0.2,0.2,0.0,1.1
Wine,-0.1,0.0,0.6,0.1,0.1,0.7,0.0,1.5
Other Fruit,0.1,0.0,0.4,0.0,0.2,0.0,0.0,0.6
Coffee,3.7,0.0,10.4,0.6,0.1,1.6,0.1,12.800000000000004
Dark Chocolate,14.3,0.0,3.7,0.2,0.1,0.4,0.0,4.399999999999999
Beef (beef herd),16.3,1.9,39.4,1.3,0.3,0.2,0.2,43.3
Beef (dairy herd),0.9,2.5,15.7,1.1,0.4,0.3,0.2,20.200000000000003
Lamb & Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.0
Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,5.7
Poultry Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,3.6000000000000005
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.3000000000000003
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,16.7
Eggs,0.7,2.2,1.3,0.0,0.1,0.2,0.0,3.8
Fish (farmed),0.5,0.8,3.6,0.0,0.1,0.1,0.0,4.6
Shrimps (farmed),0.2,2.5,8.4,0.0,0.2,0.3,0.2,11.600000000000001
